BKC_10300227150020	Customs Officer	3	for about two weeks	A	A+	
BKC_10300227151944	Eric	2	play football together	C	B	
BKC_10300227152246	Sally	1	just go straight turn right the supermarket is on your left	A	A+	
BKC_10300227152246	Sally	1	just go straight turn right the supermarket is on the left	A	A+	
BKC_10300227152246	Sally	1	go straight turn right the supermarket is on your left	A	A+	
BKC_10300227152246	Sally	1	go straight turn right the supermarket is on the left	A	A+	
BKC_10300227152246	Sally	1	walk along turn right the supermarket is on your left	A	A+	
BKC_10300227152246	Sally	1	walk along turn right the supermarket is on the left	A	A+	
BKC_10300227152246	Sally	1	go up this street turn right the supermarket is on your left	A	A+	
BKC_10300227152246	Sally	1	go up this street turn right the supermarket is on the left	A	A+	
BKC_10300227152246	Sally	1	just go straight turn right	A	A+	
BKC_10300227152246	Sally	1	go straight turn right	A	A+	
BKC_10300227152246	Sally	1	walk along turn right	A	A+	
BKC_10300227152246	Sally	1	go up this street turn right	A	A+	
BKC_10300227152246	Sally	1	go straight turn right	B	A+	
BKC_10300227152246	Sally	1	walk along turn right	B	A+	
BKC_10300227152246	Sally	1	go up this street turn right	B	A+	
BKC_10300227155788	Sarah	3	his hair is black and he is tall	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he is strong	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he is taller	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he is stronger	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he is strongest	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he tall	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he strong	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he taller	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he stronger	B	A	
BKC_10300227155788	Sarah	3	his hair is black and he strongest	B	A	
BKC_10300227155788	Sarah	3	his hair is black he is tall	B	A	
BKC_10300227155788	Sarah	3	his hair is black he is strong	B	A	
BKC_10300227155788	Sarah	3	his hair is black he is taller	B	A	
BKC_10300227155788	Sarah	3	his hair is black he is stronger	B	A	
BKC_10300227155788	Sarah	3	his hair is black he is strongest	B	A	
BKC_10300227155788	Sarah	3	his hair is black he tall	B	A	
BKC_10300227155788	Sarah	3	his hair is black he strong	B	A	
BKC_10300227155788	Sarah	3	his hair is black he taller	B	A	
BKC_10300227155788	Sarah	3	his hair is black he stronger	B	A	
BKC_10300227155788	Sarah	3	his hair is black he strongest	B	A	
